subject,session,Condition,ACC,RT,stimtype
5,Post,Experimental,1,583,inc
5,Post,Experimental,1,532,neu
5,Post,Experimental,1,622,inc
5,Post,Experimental,,0,null
5,Post,Experimental,1,587,neu
5,Post,Experimental,1,588,inc
5,Post,Experimental,1,459,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,576,inc
5,Post,Experimental,,0,null
5,Post,Experimental,1,547,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,522,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,387,neu
5,Post,Experimental,1,578,inc
5,Post,Experimental,1,580,neu
5,Post,Experimental,1,445,con
5,Post,Experimental,1,515,inc
5,Post,Experimental,1,607,inc
5,Post,Experimental,1,519,con
5,Post,Experimental,1,453,neu
5,Post,Experimental,1,507,neu
5,Post,Experimental,1,571,inc
5,Post,Experimental,1,471,neu
5,Post,Experimental,1,553,inc
5,Post,Experimental,1,449,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,550,con
5,Post,Experimental,1,536,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,434,con
5,Post,Experimental,1,370,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,551,con
5,Post,Experimental,1,661,inc
5,Post,Experimental,1,521,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,499,con
5,Post,Experimental,1,472,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,539,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,636,inc
5,Post,Experimental,1,462,con
5,Post,Experimental,1,581,inc
5,Post,Experimental,1,535,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,472,neu
5,Post,Experimental,1,479,con
5,Post,Experimental,1,406,con
5,Post,Experimental,1,567,neu
5,Post,Experimental,1,614,inc
5,Post,Experimental,1,440,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,575,inc
5,Post,Experimental,1,476,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,568,inc
5,Post,Experimental,1,421,con
5,Post,Experimental,1,429,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,487,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,494,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,357,con
5,Post,Experimental,0,302,neu
5,Post,Experimental,1,324,neu
5,Post,Experimental,1,572,inc
5,Post,Experimental,,0,null
5,Post,Experimental,1,547,neu
5,Post,Experimental,1,615,inc
5,Post,Experimental,,0,null
5,Post,Experimental,0,390,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,644,inc
5,Post,Experimental,,0,null
5,Post,Experimental,1,581,inc
5,Post,Experimental,,0,null
5,Post,Experimental,1,508,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,528,neu
5,Post,Experimental,1,454,neu
5,Post,Experimental,1,650,inc
5,Post,Experimental,1,450,con
5,Post,Experimental,1,415,con
5,Post,Experimental,1,464,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,420,con
5,Post,Experimental,1,553,inc
5,Post,Experimental,1,543,con
5,Post,Experimental,1,467,con
5,Post,Experimental,1,286,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,582,inc
5,Post,Experimental,1,534,con
5,Post,Experimental,1,530,con
5,Post,Experimental,1,639,inc
5,Post,Experimental,,0,null
5,Post,Experimental,1,600,inc
5,Post,Experimental,1,431,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,700,neu
5,Post,Experimental,,0,null
5,Post,Experimental,1,605,inc
5,Post,Experimental,1,642,inc
5,Post,Experimental,1,420,con
5,Post,Experimental,,0,null
5,Post,Experimental,0,369,inc
5,Post,Experimental,1,585,inc
5,Post,Experimental,1,498,con
5,Post,Experimental,,0,null
5,Post,Experimental,1,666,inc
5,Post,Experimental,,0,null
