subject,session,group,stimtype,ACC,RT
7,1,Control,four_m,1,1472
7,1,Control,four_nm,1,1227
7,1,Control,four_nm,1,1152
7,1,Control,four_nm,0,0
7,1,Control,four_m,1,893
7,1,Control,four_nm,1,1568
7,1,Control,four_nm,0,1511
7,1,Control,four_nm,0,0
7,1,Control,four_nm,0,1110
7,1,Control,four_nm,1,1647
7,1,Control,four_m,1,1332
7,1,Control,four_m,1,1557
7,1,Control,four_m,0,1484
7,1,Control,four_m,1,1127
7,1,Control,four_nm,1,1648
7,1,Control,four_m,0,1476
7,1,Control,four_m,0,1406
7,1,Control,four_m,1,1083
7,1,Control,four_nm,1,1046
7,1,Control,four_nm,1,1091
7,1,Control,four_m,1,941
7,1,Control,four_nm,1,1165
7,1,Control,four_m,1,1173
7,1,Control,four_nm,1,1596
7,1,Control,four_m,1,1297
7,1,Control,four_m,1,1091
7,1,Control,four_nm,1,1470
7,1,Control,four_m,1,1561
7,1,Control,four_nm,1,1376
7,1,Control,four_m,1,1455
7,1,Control,four_m,0,0
7,1,Control,four_nm,1,1137
7,1,Control,four_nm,0,0
7,1,Control,four_m,1,1230
7,1,Control,four_nm,1,1155
7,1,Control,four_m,1,1243
7,1,Control,four_nm,1,1167
7,1,Control,four_nm,1,1766
7,1,Control,four_nm,1,1590
7,1,Control,four_m,1,1276
7,1,Control,four_nm,1,1359
7,1,Control,four_m,0,0
7,1,Control,four_nm,1,1444
7,1,Control,four_m,0,1472
7,1,Control,four_nm,1,1339
7,1,Control,four_nm,1,1099
7,1,Control,four_nm,1,1477
7,1,Control,four_nm,1,1408
7,1,Control,four_nm,1,1150
7,1,Control,four_m,1,1605
7,1,Control,four_m,1,1403
7,1,Control,four_m,0,1576
7,1,Control,four_nm,0,0
7,1,Control,four_m,1,1366
7,1,Control,four_nm,1,998
7,1,Control,four_m,1,1236
7,1,Control,four_m,1,1272
7,1,Control,four_m,1,1083
7,1,Control,four_m,0,1157
7,1,Control,four_m,1,1133
7,2,Control,,,
7,2,Control,,,
7,2,Control,,,
7,2,Control,,,
7,2,Control,four_m,1,897
7,2,Control,four_m,0,1540
7,2,Control,four_m,1,892
7,2,Control,four_m,1,1039
7,2,Control,four_nm,0,1290
7,2,Control,four_m,0,876
7,2,Control,four_m,1,975
7,2,Control,four_m,1,1231
7,2,Control,four_nm,1,884
7,2,Control,four_m,1,1302
7,2,Control,four_m,1,1191
7,2,Control,four_m,1,1102
7,2,Control,four_m,1,983
7,2,Control,four_m,1,1046
7,2,Control,four_nm,1,946
7,2,Control,four_m,1,1266
7,2,Control,four_m,1,982
7,2,Control,four_nm,1,1045
7,2,Control,four_m,1,929
7,2,Control,four_nm,1,1107
7,2,Control,four_nm,0,971
7,2,Control,four_m,1,1754
7,2,Control,four_nm,1,874
7,2,Control,four_m,0,1085
7,2,Control,four_nm,0,1047
7,2,Control,four_m,0,0
7,2,Control,four_nm,1,905
7,2,Control,four_nm,1,1051
7,2,Control,four_m,1,1143
7,2,Control,four_nm,1,1055
7,2,Control,four_m,1,1594
7,2,Control,four_nm,1,912
7,2,Control,four_m,1,914
7,2,Control,four_nm,1,1108
7,2,Control,four_m,1,1118
7,2,Control,four_nm,1,1335
7,2,Control,four_nm,0,1191
7,2,Control,four_nm,1,1021
7,2,Control,four_m,1,1866
7,2,Control,four_m,1,998
7,2,Control,four_m,1,1347
7,2,Control,four_nm,0,1187
7,2,Control,four_nm,1,1482
7,2,Control,four_nm,0,0
7,2,Control,four_m,1,1051
7,2,Control,four_nm,1,1095
7,2,Control,four_nm,1,1217
7,2,Control,four_nm,1,998
7,2,Control,four_nm,1,789
7,2,Control,four_nm,1,939
7,2,Control,four_m,1,924
7,2,Control,four_nm,0,0
7,2,Control,four_nm,0,994
7,2,Control,four_nm,0,1632
7,2,Control,four_m,1,933
7,2,Control,four_nm,1,790
7,2,Control,four_m,1,1340
7,2,Control,four_nm,1,860
7,2,Control,four_nm,0,0
7,2,Control,four_m,1,1382
8,1,Experimental,,,
8,1,Experimental,,,
8,1,Experimental,,,
8,1,Experimental,,,
8,1,Experimental,,,
8,1,Experimental,,,
8,1,Experimental,,,
8,1,Experimental,,,
8,1,Experimental,four_m,1,1672
8,1,Experimental,four_m,0,0
8,1,Experimental,four_nm,1,1585
8,1,Experimental,four_nm,0,1111
8,1,Experimental,four_m,0,1457
8,1,Experimental,four_nm,1,1420
8,1,Experimental,four_nm,1,1289
8,1,Experimental,four_nm,1,1003
8,1,Experimental,four_m,0,1385
8,1,Experimental,four_m,0,1398
8,1,Experimental,four_nm,1,1156
8,1,Experimental,four_nm,0,1132
8,1,Experimental,four_m,0,1109
8,1,Experimental,four_nm,1,1199
8,1,Experimental,four_nm,1,981
8,1,Experimental,four_m,1,1236
8,1,Experimental,four_nm,1,1864
8,1,Experimental,four_m,1,1299
8,1,Experimental,four_m,0,1333
8,1,Experimental,four_m,1,886
8,1,Experimental,four_m,1,1320
8,1,Experimental,four_nm,1,1033
8,1,Experimental,four_nm,1,982
8,1,Experimental,four_nm,1,981
8,1,Experimental,four_nm,1,916
8,1,Experimental,four_nm,1,1206
8,1,Experimental,four_nm,1,922
8,1,Experimental,four_nm,0,1307
8,1,Experimental,four_nm,1,1453
8,1,Experimental,four_nm,0,1257
8,1,Experimental,four_m,1,1772
8,1,Experimental,four_m,1,1419
8,1,Experimental,four_nm,1,1240
8,1,Experimental,four_nm,1,1372
8,1,Experimental,four_nm,1,1115
8,1,Experimental,four_m,1,1236
8,1,Experimental,four_nm,1,1144
8,1,Experimental,four_m,0,1056
8,1,Experimental,four_m,1,1820
8,1,Experimental,four_m,0,1465
8,1,Experimental,four_m,1,1060
8,1,Experimental,four_m,0,1408
8,1,Experimental,four_m,1,1404
8,1,Experimental,four_nm,1,1226
8,1,Experimental,four_m,1,1375
8,1,Experimental,four_m,1,1214
8,1,Experimental,four_m,0,1395
8,1,Experimental,four_nm,1,1282
8,1,Experimental,four_nm,1,933
8,1,Experimental,four_nm,0,1238
8,1,Experimental,four_nm,1,1098
8,1,Experimental,four_m,0,1172
8,1,Experimental,four_m,0,1386
8,1,Experimental,four_m,1,1528
8,1,Experimental,four_m,0,1393
8,1,Experimental,four_m,0,1455
8,1,Experimental,four_nm,1,1051
8,1,Experimental,four_m,1,1431
8,1,Experimental,four_nm,1,996
8,1,Experimental,four_m,1,1410
8,2,Experimental,,,
8,2,Experimental,,,
8,2,Experimental,,,
8,2,Experimental,,,
8,2,Experimental,,,
8,2,Experimental,,,
8,2,Experimental,,,
8,2,Experimental,,,
8,2,Experimental,four_m,1,1325
8,2,Experimental,four_nm,1,1181
8,2,Experimental,four_nm,0,1188
8,2,Experimental,four_nm,0,923
8,2,Experimental,four_nm,1,1340
8,2,Experimental,four_nm,1,940
8,2,Experimental,four_m,1,1132
8,2,Experimental,four_nm,1,1220
8,2,Experimental,four_nm,1,1209
8,2,Experimental,four_m,1,1295
8,2,Experimental,four_nm,1,1121
8,2,Experimental,four_m,0,1482
8,2,Experimental,four_m,1,1205
8,2,Experimental,four_m,0,1050
8,2,Experimental,four_nm,1,1462
8,2,Experimental,four_m,1,1122
8,2,Experimental,four_m,0,1787
8,2,Experimental,four_nm,1,1193
8,2,Experimental,four_nm,1,1119
8,2,Experimental,four_nm,1,1416
8,2,Experimental,four_nm,1,1253
8,2,Experimental,four_m,1,985
8,2,Experimental,four_m,1,1095
8,2,Experimental,four_nm,1,1137
8,2,Experimental,four_m,1,1306
8,2,Experimental,four_m,1,1291
8,2,Experimental,four_nm,1,1213
8,2,Experimental,four_nm,1,1730
8,2,Experimental,four_nm,1,1043
8,2,Experimental,four_m,1,1455
8,2,Experimental,four_m,0,1707
8,2,Experimental,four_m,1,1292
8,2,Experimental,four_nm,1,1150
8,2,Experimental,four_nm,1,790
8,2,Experimental,four_m,1,1293
8,2,Experimental,four_m,1,1135
8,2,Experimental,four_nm,1,903
8,2,Experimental,four_m,1,1049
8,2,Experimental,four_m,1,1461
8,2,Experimental,four_nm,1,1152
8,2,Experimental,four_m,1,1112
8,2,Experimental,four_nm,1,929
8,2,Experimental,four_nm,1,1042
8,2,Experimental,four_nm,1,991
8,2,Experimental,four_m,0,1181
8,2,Experimental,four_m,1,1348
8,2,Experimental,four_nm,1,1123
8,2,Experimental,four_m,1,1548
8,2,Experimental,four_m,1,1429
8,2,Experimental,four_m,1,1137
8,2,Experimental,four_nm,1,1178
8,2,Experimental,four_nm,1,801
8,2,Experimental,four_nm,1,806
8,2,Experimental,four_m,1,1100
8,2,Experimental,four_m,1,1638
8,2,Experimental,four_m,1,1579
8,2,Experimental,four_m,0,1553
8,2,Experimental,four_m,1,1577
8,2,Experimental,four_nm,1,1007
8,2,Experimental,four_nm,1,893
9,1,Experimental,,,
9,1,Experimental,,,
9,1,Experimental,,,
9,1,Experimental,,,
9,1,Experimental,,,
9,1,Experimental,,,
9,1,Experimental,,,
9,1,Experimental,,,
9,1,Experimental,four_m,1,588
9,1,Experimental,four_m,1,1147
9,1,Experimental,four_m,1,1059
9,1,Experimental,four_nm,1,1311
9,1,Experimental,four_nm,1,1328
9,1,Experimental,four_nm,1,1057
9,1,Experimental,four_nm,1,1309
9,1,Experimental,four_nm,1,1150
9,1,Experimental,four_m,1,1447
9,1,Experimental,four_nm,1,1298
9,1,Experimental,four_m,0,1236
9,1,Experimental,four_m,1,536
9,1,Experimental,four_nm,1,1257
9,1,Experimental,four_nm,1,1388
9,1,Experimental,four_nm,0,0
9,1,Experimental,four_nm,1,1090
9,1,Experimental,four_nm,1,1132
9,1,Experimental,four_nm,1,1125
9,1,Experimental,four_m,1,765
9,1,Experimental,four_nm,1,1077
9,1,Experimental,four_nm,1,1568
9,1,Experimental,four_m,1,1591
9,1,Experimental,four_m,1,1261
9,1,Experimental,four_nm,1,1249
9,1,Experimental,four_nm,1,1253
9,1,Experimental,four_m,1,1385
9,1,Experimental,four_m,0,1782
9,1,Experimental,four_nm,1,1701
9,1,Experimental,four_m,1,1623
9,1,Experimental,four_m,1,1355
9,1,Experimental,four_m,0,1819
9,1,Experimental,four_m,0,0
9,1,Experimental,four_m,1,1598
9,1,Experimental,four_m,1,1140
9,1,Experimental,four_m,1,987
9,1,Experimental,four_nm,1,1210
9,1,Experimental,four_nm,1,1535
9,1,Experimental,four_nm,1,1592
9,1,Experimental,four_m,1,1646
9,1,Experimental,four_nm,0,1266
